Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-04-19	7122.9	7230.9	7238.0	7079.1	5930000.0	-1.49	6970.914285714285	6915.290476190475	6965.287730528777	158.89999999999964	-108.0
2020-04-20	6833.5	7122.9	7207.5	6771.2	1260000.0	-4.06	6969.8	6936.361904761904	6947.71603312494	436.3000000000002	-289.39999999999964
2020-04-21	6842.5	6833.4	6919.3	6774.3	892570.0	0.13	6968.599999999999	6956.838095238094	6933.6872287082815	145.0	9.100000000000364
2020-04-22	7112.9	6842.5	7137.4	6821.8	914180.0	3.95	7037.714285714285	6979.428571428572	6957.582264880511	315.59999999999945	270.39999999999964
2020-04-23	7488.5	7112.8	7655.4	7036.5	1340000.0	5.28	7095.271428571429	7012.190476190476	7028.371296229776	618.8999999999996	375.6999999999998
2020-04-24	7503.8	7491.3	7583.5	7423.5	951950.0	0.2	7162.128571428571	7048.757142857143	7091.761790065806	160.0	12.5
2020-04-25	7540.4	7503.9	7684.6	7451.0	861930.0	0.49	7206.357142857143	7081.280952380952	7151.580218057032	233.60000000000036	36.5
2020-04-26	7678.9	7540.4	7679.4	7520.5	921590.0	1.84	7285.785714285715	7124.4333333333325	7221.889522316094	158.89999999999964	138.5
2020-04-27	7766.0	7679.4	7768.5	7637.7	980500.0	1.13	7419.0	7145.085714285714	7294.437586007282	130.80000000000018	86.60000000000036
2020-04-28	7746.9	7766.0	7770.1	7655.3	808090.0	-0.25	7548.2	7171.833333333333	7354.7659078729785	114.80000000000018	-19.100000000000364
2020-04-29	8770.9	7746.7	8918.5	7729.7	1830000.0	13.22	7785.057142857143	7238.961904761905	7543.583786823248	1188.8000000000002	1024.1999999999998
2020-04-30	8629.0	8770.6	9437.5	8425.5	2040000.0	-1.62	7947.9857142857145	7302.771428571429	7688.305948580149	1012.0	-141.60000000000036
2020-05-01	8821.6	8628.6	9040.3	8621.0	1110000.0	2.23	8136.242857142856	7396.033333333334	7839.411822102796	419.2999999999993	193.0
2020-05-02	8966.3	8821.6	8986.2	8771.3	890340.0	1.64	8339.942857142858	7495.961904761905	7989.663579155756	214.90000000000146	144.6999999999989
2020-05-03	8885.5	8966.2	9169.9	8742.2	1150000.0	-0.9	8512.314285714285	7589.671428571429	8109.108435268323	427.6999999999989	-80.70000000000073
2020-05-04	8874.7	8885.5	8945.5	8553.2	1120000.0	-0.12	8670.7	7686.5	8211.18731056588	392.2999999999993	-10.799999999999272
2020-05-05	9001.0	8874.2	9078.7	8800.4	1050000.0	1.42	8849.857142857143	7788.885714285714	8316.495669157095	278.3000000000011	126.79999999999927
2020-05-06	9151.4	9000.6	9373.7	8923.6	1620000.0	1.67	8904.214285714286	7908.995238095238	8427.816246602815	450.10000000000036	150.79999999999927
2020-05-07	9979.8	9152.7	10033.0	9064.8	1910000.0	9.05	9097.185714285713	8046.814285714286	8634.74741372244	968.2000000000007	827.0999999999985
2020-05-08	9806.2	9980.1	10018.2	9731.4	1420000.0	-1.74	9237.842857142858	8178.738095238095	8790.94109189278	286.8000000000011	-173.89999999999964
2020-05-09	9554.6	9806.0	9910.5	9533.6	1490000.0	-2.57	9321.885714285714	8289.39523809524	8892.76227964041	376.89999999999964	-251.39999999999964
2020-05-10	8738.8	9553.9	9569.4	8259.3	2470000.0	-8.54	9300.92857142857	8366.342857142858	8872.233975688356	1310.1000000000004	-815.1000000000004
2020-05-11	8579.8	8737.6	9129.6	8235.6	2290000.0	-1.82	9258.8	8449.5	8833.242778929909	894.0	-157.8000000000011
2020-05-12	8813.8	8569.8	8964.5	8542.8	1350000.0	2.73	9232.057142857142	8543.371428571429	8830.650408405922	421.7000000000007	244.0
2020-05-13	9298.7	8813.9	9384.6	8799.1	1500000.0	5.5	9253.1	8647.457142857142	8893.057020618466	585.5	484.8000000000011
2020-05-14	9778.4	9298.7	9887.5	9265.8	1770000.0	5.16	9224.328571428572	8756.5	9011.10275120267	621.7000000000007	479.6999999999989
2020-05-15	9318.0	9778.6	9819.6	9223.2	1560000.0	-4.71	9154.585714285715	8842.890476190476	9052.022384375648	596.3999999999996	-460.60000000000036
2020-05-16	9379.5	9318.1	9579.0	9233.0	1100000.0	0.66	9129.57142857143	8930.466666666667	9095.686066458895	346.0	61.399999999999636
2020-05-17	9677.7	9376.6	9866.0	9327.8	1180000.0	3.18	9263.699999999999	9025.647619047619	9173.287924264376	538.2000000000007	301.10000000000036
2020-05-18	9730.7	9678.4	9930.2	9524.4	1180000.0	0.55	9428.114285714286	9119.204761904763	9247.60953436246	405.8000000000011	52.30000000000109
2020-05-19	9773.3	9730.8	9883.9	9498.7	1160000.0	0.44	9565.185714285715	9215.699999999999	9317.701596447465	385.1999999999989	42.5
2020-05-20	9512.3	9773.0	9829.3	9368.4	1150000.0	-2.67	9595.699999999999	9251.004761904762	9343.64805025447	460.89999999999964	-260.7000000000007
2020-05-21	9059.0	9511.6	9567.1	8833.6	1410000.0	-4.76	9492.92857142857	9271.480952380953	9305.694976887207	733.5	-452.60000000000036
2020-05-22	9169.7	9058.2	9253.5	8952.1	914590.0	1.22	9471.742857142857	9288.057142857142	9287.562313302247	301.39999999999964	111.5
2020-05-23	9177.0	9169.8	9303.2	9098.9	812560.0	0.08	9442.814285714285	9298.090476190477	9272.820671528614	204.3000000000011	7.200000000000728
2020-05-24	8728.2	9177.9	9292.0	8724.1	1110000.0	-4.89	9307.17142857143	9290.6	9200.204581991466	567.8999999999996	-449.6999999999989
2020-05-25	8898.2	8728.0	8959.5	8666.1	941890.0	1.95	9188.242857142857	9291.719047619046	9159.937304392604	293.39999999999964	170.20000000000073
2020-05-26	8842.5	8897.7	8994.6	8713.9	784920.0	-0.63	9055.271428571428	9284.171428571428	9117.61233047359	280.7000000000007	-55.20000000000073
2020-05-27	9199.1	8842.3	9210.9	8818.6	810890.0	4.03	9010.528571428571	9286.442857142856	9128.47735307711	392.2999999999993	356.8000000000011
2020-05-28	9572.2	9199.8	9610.8	9119.2	948860.0	4.06	9083.842857142858	9267.033333333335	9187.64037266683	491.59999999999854	372.40000000000146
2020-05-29	9424.8	9573.4	9596.5	9358.1	814330.0	-1.54	9120.285714285714	9248.871428571429	9219.261656311253	238.39999999999964	-148.60000000000036
2020-05-30	9692.5	9424.8	9729.9	9352.7	720620.0	2.84	9193.92857142857	9255.438095238094	9282.36010213642	377.1999999999989	267.7000000000007
2020-05-31	9454.8	9692.9	9695.6	9406.2	645270.0	-2.45	9297.728571428572	9289.533333333335	9305.35208851823	289.39999999999964	-238.10000000000036
2020-06-01	10189.3	9454.5	10301.8	9429.7	796680.0	7.77	9482.171428571428	9366.176190476192	9423.211810049133	872.0999999999985	734.7999999999993
2020-06-02	9527.6	10190.7	10207.3	9347.3	1060000.0	-6.49	9580.042857142858	9400.166666666666	9437.130235375917	860.0	-663.1000000000004
2020-06-03	9667.2	9527.0	9667.2	9421.7	558120.0	1.47	9646.914285714285	9417.714285714286	9467.80620399246	245.5	140.20000000000073
2020-06-04	9794.4	9667.2	9864.4	9490.9	593660.0	1.32	9678.657142857144	9418.47619047619	9511.352043460132	373.5	127.19999999999891
2020-06-05	9631.2	9794.0	9846.1	9628.7	527050.0	-1.67	9708.142857142857	9433.390476190476	9527.331770998782	217.39999999999964	-162.79999999999927
2020-06-06	9669.6	9630.8	9733.1	9549.5	370850.0	0.4	9704.871428571427	9447.20476190476	9546.300868198945	183.60000000000036	38.80000000000109
2020-06-07	9742.6	9669.6	9791.8	9417.4	549200.0	0.76	9745.985714285713	9450.29523809524	9572.47408577242	374.39999999999964	73.0
2020-06-08	9777.9	9743.4	9788.2	9662.3	431040.0	0.36	9687.214285714286	9452.542857142857	9599.86420766943	125.90000000000146	34.5
2020-06-09	9768.8	9777.7	9857.2	9616.6	479550.0	-0.09	9721.671428571428	9452.32857142857	9622.388979980173	240.60000000000036	-8.900000000001455
2020-06-10	9878.8	9768.8	9970.9	9710.7	533550.0	1.13	9751.9	9469.780952380952	9656.577115982816	260.1999999999989	110.0
2020-06-11	9283.2	9878.9	9945.2	9139.1	919300.0	-6.03	9678.871428571429	9480.457142857142	9606.79350051844	806.1000000000004	-595.6999999999989
2020-06-12	9466.6	9283.7	9547.5	9249.4	529280.0	1.97	9655.357142857143	9494.595238095239	9588.101033782648	298.10000000000036	182.89999999999964
2020-06-13	9471.3	9466.5	9484.9	9369.9	364970.0	0.05	9627.028571428571	9508.609523809524	9572.527562611629	115.0	4.799999999999272
2020-06-14	9345.3	9470.7	9474.7	9264.4	311270.0	-1.33	9570.271428571428	9537.995238095238	9542.230554263411	210.3000000000011	-125.40000000000146
